Syntax version=4
Mon Jun 24 13:14:02 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		count1	duty1
D:	760.23	900	1000
D:	761.52	900	1000
D:	762.80	900	1000
D:	764.11	900	1000
D:	765.42	900	1000
D:	766.68	900	1000
D:	768.11	900	1000
D:	769.82	900	1000
D:	771.25	900	1000
D:	772.64	900	1000
D:	774.36	900	1000
D:	776.31	900	1000
D:	778.33	900	1000
D:	780.13	900	950
D:	781.94	905	950
D:	783.31	905	950
D:	785.26	905	950
D:	786.79	905	950
D:	788.94	905	950
D:	791.54	905	950
D:	794.27	905	950
D:	796.49	905	950
D:	798.83	905	950
D:	801.01	905	1000
D:	802.76	900	1000
D:	804.31	900	1000
D:	805.92	900	1000
D:	807.35	900	1000
D:	808.63	900	1000
D:	809.92	900	1000
D:	811.30	905	950
D:	812.57	905	950
D:	813.92	905	950
D:	815.33	905	950
D:	816.76	905	950
D:	818.35	905	950
D:	819.74	905	950
D:	821.27	900	1000
D:	822.70	900	1000
D:	824.25	900	1000
D:	825.66	900	1000
D:	827.04	900	1000
D:	828.36	900	1000
D:	829.83	900	1000
D:	831.24	900	900
D:	832.64	910	900
D:	834.04	910	900
D:	835.80	910	900
D:	837.39	910	900
D:	838.73	910	900
D:	840.11	910	900
D:	841.65	900	1000
D:	843.37	900	1000
D:	844.68	900	1000
D:	845.97	900	1000
D:	847.28	900	1000
D:	848.65	900	1000
D:	849.91	900	1000
D:	851.32	910	900
D:	852.90	910	900
D:	854.56	910	900
D:	856.30	910	900
D:	858.58	910	900
D:	860.46	910	950
D:	862.63	905	950
D:	864.61	905	950
D:	867.25	905	950
D:	869.42	905	950
D:	871.64	905	950
D:	873.73	905	950
D:	875.86	905	950
D:	877.95	905	950
D:	880.29	905	950
D:	882.12	905	950
D:	883.97	905	950
D:	885.97	905	950
D:	887.51	905	950
D:	888.97	905	950
D:	890.54	905	950
D:	892.17	905	950
D:	893.57	905	950
D:	894.83	905	950
D:	896.11	905	950
D:	897.71	905	950
D:	899.14	905	950
D:	900.58	905	950
D:	902.08	905	950
D:	903.57	905	950
D:	905.08	905	950
D:	906.51	905	950
D:	907.95	905	950
D:	909.36	905	950
D:	911.05	905	950
D:	912.51	905	950
D:	913.92	905	950
D:	915.30	905	950
D:	916.79	905	950
D:	918.10	905	950
D:	919.52	905	950
D:	920.92	905	950
D:	922.32	905	950
D:	923.79	905	950
D:	925.43	905	950
D:	927.02	905	950
D:	928.40	905	950
D:	929.76	905	950
D:	931.07	905	1000
D:	932.32	900	1000
D:	933.63	900	1000
D:	935.11	900	1000
D:	936.86	900	1000
D:	938.46	900	1000
D:	940.61	900	950
D:	942.59	905	950
D:	944.59	905	950
D:	946.56	905	950
D:	948.62	905	950
D:	950.87	905	1000
D:	952.83	900	1000
D:	954.96	900	1000
D:	957.16	900	1000
D:	959.17	900	1000
D:	961.61	900	1000
D:	963.64	900	1000
D:	965.59	900	1000
D:	967.54	900	1000
D:	969.33	900	1000
D:	971.10	900	1000
D:	972.66	900	1000
D:	974.15	900	1000
D:	975.51	900	1000
D:	976.76	900	1000
D:	978.03	900	1000
D:	979.41	900	1000
D:	980.63	900	1000
D:	981.93	900	1000
D:	983.21	900	1000
D:	984.78	900	1000
D:	986.68	900	1000
D:	988.39	900	1000
D:	990.46	900	1050
D:	992.52	895	1050
D:	994.38	895	1050
D:	996.59	895	1050
D:	998.97	895	1050
D:	1000.93	895	1050
D:	1002.81	895	1050
D:	1004.95	895	1050
D:	1007.08	895	1050
D:	1009.06	895	1050
D:	1010.99	895	1000
D:	1012.64	900	1000
D:	1013.97	900	1000
D:	1015.37	900	1000
D:	1016.66	900	1000
D:	1018.12	900	1000
D:	1019.77	900	1000
D:	1021.32	900	1000
D:	1022.66	900	1000
D:	1024.02	900	1000
D:	1025.44	900	1000
D:	1026.82	900	1000
D:	1028.27	900	1000
D:	1029.67	900	1000
D:	1031.16	900	1000
D:	1032.42	900	1000
D:	1033.80	900	1000
D:	1035.35	900	1000
D:	1036.68	900	1000
D:	1038.04	900	1000
D:	1039.51	900	1000
D:	1040.81	900	1000
D:	1042.17	900	1000
D:	1043.57	900	1000
D:	1044.99	900	1000
D:	1046.51	900	1000
D:	1048.05	900	1000
D:	1049.66	900	1000
D:	1051.37	900	950
D:	1053.28	905	950
D:	1054.89	905	950
D:	1056.54	905	950
D:	1058.22	905	950
D:	1059.53	905	950
D:	1060.78	905	1000
D:	1062.03	900	1000
D:	1063.42	900	1000
D:	1064.71	900	1000
D:	1066.07	900	1000
D:	1067.52	900	1000
D:	1069.04	900	1000
D:	1070.43	900	900
D:	1071.83	910	900
D:	1073.22	910	900
D:	1074.67	910	900
D:	1076.30	910	900
D:	1077.64	910	900
D:	1078.96	910	900
D:	1080.23	910	900
D:	1081.78	900	1000
D:	1083.11	900	1000
D:	1084.53	900	1000
D:	1085.92	900	1000
D:	1087.58	900	1000
D:	1089.02	900	1000
D:	1090.51	900	950
D:	1092.08	905	950
D:	1093.80	905	950
D:	1095.06	905	950
D:	1096.38	905	950
D:	1097.66	905	950
D:	1098.91	905	950
D:	1100.31	905	950
D:	1101.83	905	950
D:	1103.54	905	950
D:	1105.12	905	950
D:	1106.66	905	950
D:	1108.20	905	950
D:	1109.64	905	950
D:	1111.03	905	950
D:	1112.51	905	950
D:	1113.77	905	950
D:	1115.17	905	950
D:	1118.57	905	950
D:	1119.93	905	950
D:	1121.29	905	1000
D:	1122.63	900	1000
D:	1123.94	900	1000
D:	1125.33	900	1000
D:	1126.73	900	1000
D:	1128.11	900	1000
D:	1129.51	900	1000
D:	1131.15	900	950
D:	1132.51	905	950
D:	1134.04	905	950
D:	1135.65	905	950
D:	1137.08	905	950
D:	1138.43	905	950
D:	1139.78	905	950
D:	1141.05	905	950
D:	1142.34	905	950
D:	1143.74	905	950
D:	1145.03	905	950
D:	1146.29	905	950
D:	1147.58	905	950
D:	1149.03	905	950
D:	1150.35	905	1000
D:	1151.95	900	1000
D:	1153.39	900	1000
D:	1154.99	900	1000
D:	1156.38	900	1000
D:	1157.74	900	1000
D:	1159.23	900	1000
D:	1160.66	900	1000
D:	1162.13	900	1000
D:	1163.51	900	1000
D:	1164.84	900	1000
D:	1166.15	900	1000
D:	1167.52	900	1000
D:	1169.14	900	1000
D:	1170.57	900	1000
D:	1171.97	900	1000
D:	1173.51	900	1000
D:	1174.98	900	1000
D:	1176.72	900	1000
D:	1178.04	900	1000
D:	1179.33	900	1000
D:	1180.63	900	1000
D:	1181.91	905	950
D:	1183.20	905	950
D:	1184.58	905	950
D:	1185.93	905	950
D:	1187.27	905	950
D:	1188.64	905	950
D:	1189.95	905	950
D:	1192.11	900	1000
D:	1193.87	900	1000
D:	1196.09	900	1000
D:	1198.64	900	1000
D:	1200.50	900	950
D:	1202.76	905	950
D:	1204.98	905	950
D:	1206.75	905	950
D:	1208.98	905	950
D:	1211.06	905	1000
D:	1213.08	900	1000
D:	1214.92	900	1000
D:	1216.76	900	1000
D:	1218.89	900	1000
D:	1220.57	900	1000
D:	1222.34	900	1000
D:	1223.98	900	1000
D:	1225.54	900	1000
D:	1226.98	900	1000
D:	1228.51	900	1000
D:	1229.77	900	1000
D:	1231.05	900	1000
D:	1232.51	900	1000
D:	1233.83	900	1000
D:	1235.39	900	1000
D:	1236.77	900	1000
D:	1238.20	900	1000
D:	1239.69	900	1000
D:	1241.01	900	1000
D:	1242.33	900	1000
D:	1243.63	900	1000
D:	1245.03	900	1000
D:	1246.39	900	1000
D:	1247.80	900	1000
D:	1249.24	900	1000
D:	1250.71	900	950
D:	1252.29	905	950
D:	1253.63	905	950
